DATA1,DATA2,DATA3
ABa,0,9878
ABal,1.40833333333333,8997
ABal,2.81666666666667,9718
ABal,4.225,8529
ABal,5.63333333333333,6899
ABal,7.04166666666667,6426
ABal,8.45,6366
ABal,9.85833333333333,6672
ABal,11.2666666666667,6859
ABal,12.675,6978
ABal,14.0833333333333,9448
ABal,15.4916666666667,10482
ABala,16.9,8691
ABala,18.3083333333333,8869
ABala,19.7166666666667,7911
ABala,21.125,7060
ABala,22.5333333333333,6287
ABala,23.9416666666667,6305
ABala,25.35,6311
ABala,26.7583333333333,6176
ABala,28.1666666666667,6084
ABala,29.575,6207
ABala,30.9833333333333,6499
ABala,32.3916666666667,6838
ABala,33.8,6394
ABalaa,35.2083333333333,5703
ABalaa,36.6166666666667,6206
ABalaa,38.025,5504
ABalaa,39.4333333333333,4690
ABalaa,40.8416666666667,4319
ABalaa,42.25,4058
ABalaa,43.6583333333333,3869
ABalaa,45.0666666666667,3963
ABalaa,46.475,4140
ABalaa,47.8833333333333,4286
ABalaa,49.2916666666667,4502
ABalaa,50.7,4498
ABalaa,52.1083333333333,4595
ABalaa,53.5166666666667,4974
ABalaa,54.925,4795
ABalaa,56.3333333333333,5254
ABalaa,57.7416666666667,4724
ABalaa,59.15,4004
ABalaaa,60.5583333333333,4479
ABalaaa,61.9666666666667,4383
ABalaaa,63.375,3487
ABalaaa,64.7833333333333,3183
ABalaaa,66.1916666666667,2925
ABalaaa,67.6,2945
ABalaaa,69.0083333333333,2726
ABalaaa,70.4166666666667,2865
ABalaaa,71.825,2740
ABalaaa,73.2333333333333,2917
ABalaaa,74.6416666666667,3010
ABalaaa,76.05,2906
ABalaaa,77.4583333333333,2770
ABalaaa,78.8666666666667,2971
ABalaaa,80.275,3015
ABalaaa,81.6833333333334,3079.63119428042
ABalaaa,83.0916666666667,3209.54960489753
ABalaaa,84.5,3202.77125303925
ABalaaa,85.9083333333333,3079.63119428042
ABalaaa,87.3166666666667,2791.55124030335
ABalaaaa,88.725,2642.4274994211
ABalaaaa,90.1333333333333,2613.05464136853
ABalaaaa,91.5416666666667,2446.98502084057
ABalaaaa,92.95,2353.21782013431
ABalaaaa,94.3583333333333,2176.98067181892
ABalaaaa,95.7666666666667,2457.152548628
ABalaaaa,97.175,2419.87161340743
ABalaaaa,98.5833333333333,2348.69891889545
ABalaaaa,99.9916666666667,2607.40601481996
ABalaaaa,101.4,2838.99970331133
ABalaaaa,102.808333333333,2571.25480490911
ABalaaaa,104.216666666667,2564.47645305083
ABalaaaa,105.625,2665.02200561538
ABalaaaa,107.033333333333,2485.39568137085
ABalaaaa,108.441666666667,2724.89744703022
ABalaaaa,109.85,2718.11909517193
ABalaaaa,111.258333333333,2946.32360773417
ABalaaaa,112.666666666667,2789.29178968392
ABalaaaa,114.075,2925.98855215931
ABalaaaa,115.483333333333,2925.98855215931
ABalaaaa,116.891666666667,2718.11909517193
ABalaaaa,118.3,2925.98855215931
ABalaaaa,119.708333333333,2506.86046225541
ABalaaaa,121.116666666667,2731.6757988885
ABalaaaa,122.525,2889.83734224847
ABalaaaa,123.933333333333,3197.12262649068
ABalaaaal,125.341666666667,2986.99371888387
ABalaaaal,126.75,2814.14574649763
ABalaaaal,128.158333333333,2502.34156101656
ABalaaaal,129.566666666667,2756.52975570221
