DATA1,DATA2,DATA3
ABa,0,7063.97592993735
ABal,1.40833333333333,5300.62656463678
ABal,3.16875,6133.47754543287
ABal,4.92916666666666,7513.96771536015
ABal,6.68958333333333,9133.28716019086
ABal,8.45,10220.835118993
ABal,10.2104166666667,10716.395692813
ABal,11.9708333333333,10461.698714807
ABal,13.73125,8998.61511590971
ABal,15.4916666666667,7422.83013856566
ABala,16.9,6074.88910320784
ABala,18.59,5255.87150460377
ABala,20.28,5827.51568047994
ABala,21.97,7367.9034739797
ABala,23.66,8477.01523443409
ABala,25.35,9534.86210794158
ABala,27.04,9942.13315424197
ABala,28.73,10692.3907060681
ABala,30.42,10059.7169028741
ABala,32.11,8371.63741126546
ABala,33.8,6552.14078883257
ABalaa,35.2083333333333,5161.88587853445
ABalaa,36.7046875,5339.68552612013
ABalaa,38.2010416666667,6347.48810522708
ABalaa,39.6973958333333,7275.13844045673
ABalaa,41.19375,8036.38132520001
ABalaa,42.6901041666667,8371.63741126546
ABalaa,44.1864583333333,9518.99440483897
ABalaa,45.6828125,10288.7814374067
ABalaa,47.1791666666667,10717.6162853594
ABalaa,48.6755208333333,11030.4948414083
ABalaa,50.171875,11085.4215059943
ABalaa,51.6682291666667,10783.1214186804
ABalaa,53.1645833333333,10658.6209789522
ABalaa,54.6609375,10850.2540087299
ABalaa,56.1572916666667,10648.8562385814
ABalaa,57.6536458333333,8756.53092754934
ABalaa,59.15,5866.16777778117
ABalaaa,60.5583333333333,5117.53768268356
ABalaaa,61.9666666666667,5376.7101666929
ABalaaa,63.375,5544.74507390774
ABalaaa,64.7833333333333,7208.00585040722
ABalaaa,66.1916666666667,9314.7485854156
ABalaaa,67.6,9813.97093687472
ABalaaa,69.0083333333333,10189.5065769699
ABalaaa,70.4166666666667,10980.4505470078
ABalaaa,71.825,11750.6444437577
ABalaaa,73.2333333333333,12388.6074813191
ABalaaa,74.6416666666667,13063.5951594533
ABalaaa,76.05,13735.3279241306
ABalaaa,77.4583333333333,12855.2806982088
ABalaaa,78.8666666666667,12881.3200058643
ABalaaa,80.275,12392.6761231403
ABalaaa,81.6833333333333,11985.4050768399
ABalaaa,83.0916666666667,11613.9380785659
ABalaaa,84.5,12029.9974881654
ABalaaa,85.9083333333334,9422.54339355296
ABalaaa,87.3166666666667,7148.43886258977
ABalaaaa,88.725,5657.1381831063
ABalaaaa,90.0791666666667,5080.742730171
ABalaaaa,91.4333333333333,5795.94783112743
ABalaaaa,92.7875,6059.63456026793
ABalaaaa,94.1416666666667,6447.16632853508
ABalaaaa,95.4958333333333,8346.63961614015
ABalaaaa,96.85,9459.69690529095
ABalaaaa,98.2041666666667,9751.24876823495
ABalaaaa,99.5583333333333,10535.6006827038
ABalaaaa,100.9125,11079.4868128683
ABalaaaa,102.266666666667,11042.8493221267
ABalaaaa,103.620833333333,11389.6154316813
ABalaaaa,104.975,12033.6096351399
ABalaaaa,106.329166666667,11981.4915145075
ABalaaaa,107.683333333333,11289.5073583873
ABalaaaa,109.0375,11275.0587704892
ABalaaaa,110.391666666667,11634.7254049528
ABalaaaa,111.745833333333,11898.9281550897
ABalaaaa,113.1,11407.1601455576
ABalaaaa,114.454166666667,12688.9563005185
ABalaaaa,115.808333333333,12352.5106108911
ABalaaaa,117.1625,12527.4417286575
ABalaaaa,118.516666666667,12094.5001127105
ABalaaaa,119.870833333333,11380.3270537468
ABalaaaa,121.225,9429.25166650565
ABalaaaa,122.579166666667,6786.70814414066
ABalaaaa,123.933333333333,6725.3016455737
ABalaaaal,125.341666666667,5928.04920619586
ABalaaaal,126.62196969697,5940.94973110488
ABalaaaal,127.902272727273,6477.09554632403
ABalaaaal,129.182575757576,7701.61337068882
ABalaaaal,130.462878787879,8669.66875986217
ABalaaaal,131.743181818182,9944.75664187035
ABalaaaal,133.023484848485,10137.7484945094
ABalaaaal,134.303787878788,10802.3835378224
ABalaaaal,135.584090909091,10401.9512446462
ABalaaaal,136.864393939394,10273.9780375487
ABalaaaal,138.144696969697,10099.0469197823
ABalaaaal,139.425,10865.3380993785
ABalaaaal,140.705303030303,11551.6460245387
ABalaaaal,141.985606060606,11094.9674427592
ABalaaaal,143.265909090909,11307.5680932599
ABalaaaal,144.546212121212,11062.4581199884
ABalaaaal,145.826515151515,10590.298908318
ABalaaaal,147.106818181818,10300.8111293595
ABalaaaal,148.387121212121,10176.9660902328
ABalaaaal,149.667424242424,10102.1430457605
ABalaaaal,150.947727272727,9713.57923550059
ABalaaaal,152.22803030303,10903.0076321128
ABalaaaal,153.508333333333,9840.52040060542
ABalaaaal,154.788636363636,9465.37313625092
ABalaaaal,156.068939393939,10150.1329984221
ABalaaaal,157.349242424242,10657.8976588413
ABalaaaal,158.629545454545,10465.937848195
ABalaaaal,159.909848484848,10256.4333236724
ABalaaaal,161.190151515152,11167.2103822497
ABalaaaal,162.470454545455,11358.1381509033
ABalaaaal,163.750757575758,10816.3161047242
ABalaaaal,165.031060606061,9457.11680030915
ABalaaaal,166.311363636364,7302.21311950536
ABalaaaal,167.591666666667,8014.83811547999
ABalaaaala,169,7039.55843235758
ABalaaaala,170.088257575758,6681.95588187937
ABalaaaala,171.176515151515,6858.43506263485
ABalaaaala,172.264772727273,7691.80897175796
ABalaaaala,173.35303030303,8254.78787878788
ABalaaaala,174.441287878788,9893.6705632306
ABalaaaala,175.529545454545,8870.83608778112
ABalaaaala,176.617803030303,9099.64331853193
ABalaaaala,177.706060606061,9451.96595703316
ABalaaaala,178.794318181818,9191.43618986558
ABalaaaala,179.882575757576,10816.709970538
ABalaaaala,180.970833333333,10621.6501189539
ABalaaaala,182.059090909091,10980.0472857052
ABalaaaala,183.147348484849,10047.9446731186
ABalaaaala,184.235606060606,10163.360709869
ABalaaaala,185.323863636364,10506.9090297869
ABalaaaala,186.412121212121,9977.07517686834
ABalaaaala,187.500378787879,12035.6653060422
ABalaaaala,188.588636363636,12491.2549247938
ABalaaaala,189.676893939394,12263.1226416264
ABalaaaala,190.765151515152,12153.781133126
ABalaaaala,191.853409090909,12379.8885735434
ABalaaaala,192.941666666667,12301.5946538765
ABalaaaala,194.029924242424,12070.0876327924
ABalaaaala,195.118181818182,12331.2923475433
ABalaaaala,196.206439393939,12367.0645694601
ABalaaaala,197.294696969697,12050.5141528756
ABalaaaala,198.382954545455,12706.5632038779
ABalaaaala,199.471212121212,12331.9672951266
ABalaaaala,200.55946969697,12689.6895142945
ABalaaaala,201.647727272727,13060.2357375458
ABalaaaala,202.735984848485,13596.8190662977
ABalaaaala,203.824242424242,12759.2091153781
ABalaaaala,204.9125,13116.931334546
ABalaaaala,206.000757575758,12576.9732678775
ABalaaaala,207.089015151515,13193.8753590463
ABalaaaala,208.177272727273,14444.5532309673
ABalaaaala,209.26553030303,14521.4972554676
ABalaaaala,210.353787878788,14702.3832078016
ABalaaaala,211.442045454545,14759.0788048018
ABalaaaala,212.530303030303,13534.7238886308
