DATA1,DATA2,DATA3
ABa,0,1432.02022634585
ABal,1.40833333333333,533.04929801326
ABal,3.16875,1085.45022070687
ABal,4.92916666666666,1737.3737846137
ABal,6.68958333333333,2375.97739906523
ABal,8.45,3091.73619243711
ABal,10.2104166666667,3591.86259651368
ABal,11.9708333333333,3452.38010693453
ABal,13.73125,2902.99502185345
ABal,15.4916666666667,1670.52271753613
ABala,16.9,697.663767696751
ABala,18.59,626.037624399354
ABala,20.28,1087.71209891626
ABala,21.97,1979.64607281964
ABala,23.66,2856.75217846144
ABala,25.35,3584.07168268133
ABala,27.04,3969.09361787997
ABala,28.73,4244.79143962468
ABala,30.42,4073.64265511406
ABala,32.11,3044.48806984094
ABala,33.8,1296.81017338445
ABalaa,35.2083333333333,845.942450312415
ABalaa,36.7046875,1101.53468797365
ABalaa,38.2010416666667,1784.37058740884
ABalaa,39.6973958333333,2583.56755472716
ABalaa,41.19375,3307.61990153348
ABalaa,42.6901041666667,3595.12975392724
ABalaa,44.1864583333333,4242.52956141529
ABalaa,45.6828125,4702.94743692698
ABalaa,47.1791666666667,4887.918810495
ABalaa,48.6755208333333,5108.32627601014
ABalaa,50.171875,5270.67886748424
ABalaa,51.6682291666667,5187.74333313989
ABalaa,53.1645833333333,5143.00840855415
ABalaa,54.6609375,5023.38018325744
ABalaa,56.1572916666667,4773.81962082125
ABalaa,57.6536458333333,3552.1540679488
ABalaa,59.15,1131.94438389992
ABalaaa,60.5583333333333,810.757678166325
ABalaaa,61.9666666666667,865.796714594851
ABalaaa,63.375,1507.91880626099
ABalaaa,64.7833333333333,2674.04268310282
ABalaaa,66.1916666666667,3904.25310921074
ABalaaa,67.6,4363.41438571721
ABalaaa,69.0083333333333,4683.09317264455
ABalaaa,70.4166666666667,5199.80668358998
ABalaaa,71.825,5664.99963532149
ABalaaa,73.2333333333333,6057.05852494935
ABalaaa,74.6416666666667,6333.00766649511
ABalaaa,76.05,6782.11615095984
ABalaaa,77.4583333333333,6238.26010150171
ABalaaa,78.8666666666667,6339.03934172015
ABalaaa,80.275,6018.10395578761
ABalaaa,81.6833333333333,5805.48740410481
ABalaaa,83.0916666666667,5279.72638032181
ABalaaa,84.5,5575.73213943649
ABalaaa,85.9083333333334,3327.02967280668
ABalaaa,87.3166666666667,1198.02467599593
ABalaaaa,88.725,995.378959547886
ABalaaaa,90.0791666666667,970.87947742118
ABalaaaa,91.4333333333333,1598.41621246666
ABalaaaa,92.7875,2353.70024717283
ABalaaaa,94.1416666666667,2749.19188721823
ABalaaaa,95.4958333333333,3867.06825739964
ABalaaaa,96.85,4676.25115278456
ABalaaaa,98.2041666666667,4835.84777920996
ABalaaaa,99.5583333333333,5337.73717020563
ABalaaaa,100.9125,5506.08361167628
ABalaaaa,102.266666666667,5506.08361167628
ABalaaaa,103.620833333333,5689.47973502476
ABalaaaa,104.975,6026.87260316969
ABalaaaa,106.329166666667,5761.57821099764
ABalaaaa,107.683333333333,5306.58782864453
ABalaaaa,109.0375,5350.6868964726
ABalaaaa,110.391666666667,5483.68408516043
ABalaaaa,111.745833333333,5706.27937991165
ABalaaaa,113.1,5309.38776945901
ABalaaaa,114.454166666667,5983.82351314705
ABalaaaa,115.808333333333,5930.97463027372
ABalaaaa,117.1625,5799.72740459494
ABalaaaa,118.516666666667,5768.22807043203
ABalaaaa,119.870833333333,4849.84748328237
ABalaaaa,121.225,3835.56892323674
ABalaaaa,122.579166666667,1716.01372667485
ABalaaaa,123.933333333333,1115.07642936694
ABalaaaal,125.341666666667,886.881252986759
ABalaaaal,126.62196969697,1042.27796819044
ABalaaaal,127.902272727273,1396.12048862043
ABalaaaal,129.182575757576,2520.99671083805
ABalaaaal,130.462878787879,3149.58342368897
ABalaaaal,131.743181818182,4170.8618357708
ABalaaaal,133.023484848485,4264.30986045409
ABalaaaal,134.303787878788,4838.99771262625
ABalaaaal,135.584090909091,4511.75462993382
ABalaaaal,136.864393939394,4580.70317249041
ABalaaaal,138.144696969697,4813.44825269412
ABalaaaal,139.425,4965.3450418797
ABalaaaal,140.705303030303,5400.03585332782
ABalaaaal,141.985606060606,5235.88932307889
ABalaaaal,143.265909090909,5451.48476579391
ABalaaaal,144.546212121212,5283.83830952687
ABalaaaal,145.826515151515,4730.50000606513
ABalaaaal,147.106818181818,4788.94877056741
ABalaaaal,148.387121212121,4893.24656590682
ABalaaaal,149.667424242424,4842.14764604255
ABalaaaal,150.947727272727,4657.35155228682
ABalaaaal,152.22803030303,5395.13595690248
ABalaaaal,153.508333333333,4577.90323167593
ABalaaaal,154.788636363636,4535.90411945872
ABalaaaal,156.068939393939,4760.94936242261
ABalaaaal,157.349242424242,5015.39398393854
ABalaaaal,158.629545454545,4902.34637355388
ABalaaaal,159.909848484848,4605.55264721893
ABalaaaal,161.190151515152,5234.83934527346
ABalaaaal,162.470454545455,5461.28455864459
ABalaaaal,163.750757575758,4736.79987289771
ABalaaaal,165.031060606061,3309.53004271618
ABalaaaal,166.311363636364,1776.91243938981
ABalaaaal,167.591666666667,1489.91850590554
